Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,81.330002,81.360001,80.320000,80.540001,68.024734,6981700
2014-01-03,80.760002,80.849998,80.190002,80.449997,67.948730,6925600
2014-01-06,80.610001,80.980003,80.300003,80.639999,68.109207,7208200
2014-01-07,80.709999,81.580002,80.620003,81.419998,68.768013,7158200
2014-01-08,80.970001,81.150002,80.050003,80.239998,67.771362,13458800
2014-01-09,80.540001,80.800003,80.029999,80.419998,67.923416,10833900
2014-01-10,80.589996,80.889999,80.199997,80.300003,67.822052,8448300
2014-01-13,80.010002,80.500000,79.690002,80.010002,67.577141,9360800
2014-01-14,80.059998,80.919998,80.019997,80.870003,68.303474,8737100
2014-01-15,80.699997,81.180000,80.250000,80.790001,68.235909,8221900
2014-01-16,80.650002,80.830002,80.260002,80.559998,68.041618,11673300
2014-01-17,80.419998,80.639999,79.800003,79.879997,67.467308,13629800
2014-01-21,80.589996,80.720001,79.540001,80.180000,67.720703,13216400
2014-01-22,79.570000,79.879997,79.050003,79.230003,67.424133,8455600
2014-01-23,78.709999,78.970001,78.120003,78.239998,66.581642,12667700
2014-01-24,79.330002,81.699997,78.779999,79.180000,67.381584,20163200
2014-01-27,79.239998,79.300003,78.419998,78.470001,66.777390,10395400
2014-01-28,78.669998,79.519997,78.430000,79.110001,67.321999,10060800
2014-01-29,78.800003,78.800003,77.379997,77.639999,66.071053,13443100
2014-01-30,78.050003,78.050003,76.769997,76.870003,65.415787,9450500
2014-01-31,76.029999,77.190002,75.260002,76.620003,65.203026,12988800
2014-02-03,76.690002,76.760002,75.599998,75.699997,64.420120,14292700
2014-02-04,76.000000,76.389999,75.400002,76.089996,64.752022,12055400
2014-02-05,75.940002,76.800003,75.669998,76.449997,65.058357,9734100
2014-02-06,76.529999,76.989998,76.480003,76.900002,65.441307,7819700
2014-02-07,76.989998,77.389999,76.750000,77.309998,65.790215,7259200
2014-02-10,77.430000,78.089996,77.190002,78.029999,66.402931,8959700
2014-02-11,78.099998,79.110001,77.639999,78.839996,67.092239,10500800
2014-02-12,78.129997,78.529999,77.059998,77.489998,65.943390,11019700
2014-02-13,77.089996,77.919998,77.000000,77.800003,66.207191,7420600
2014-02-14,77.690002,79.750000,77.250000,79.400002,67.568787,10791900
2014-02-18,79.480003,79.629997,77.559998,77.970001,66.351860,15750700
2014-02-19,77.639999,78.959999,77.550003,78.139999,66.496536,8740000
2014-02-20,77.959999,78.440002,77.500000,77.919998,66.309326,8275200
2014-02-21,78.050003,78.889999,77.910004,77.970001,66.351860,8089200
2014-02-24,78.029999,78.769997,77.610001,77.860001,66.258255,7838700
2014-02-25,77.730003,78.309998,77.400002,78.120003,66.479530,8177500
2014-02-26,78.230003,78.769997,77.820000,77.860001,66.258255,7764700
2014-02-27,77.769997,78.230003,77.559998,78.190002,66.539101,6549800
2014-02-28,78.239998,78.910004,78.010002,78.660004,66.939064,8489600
2014-03-03,78.260002,78.410004,77.349998,77.480003,65.934891,8598600
2014-03-04,78.089996,78.720001,77.900002,78.449997,66.760353,8306900
2014-03-05,78.320000,78.410004,77.550003,77.820000,66.224236,8542300
2014-03-06,78.040001,78.440002,77.839996,78.059998,66.428467,6475600
2014-03-07,78.410004,78.599998,78.110001,78.379997,66.700783,5865400
2014-03-10,78.290001,78.570000,78.199997,78.529999,66.828423,5229900
2014-03-11,78.589996,79.389999,78.570000,78.949997,67.185837,6595800
2014-03-12,78.660004,79.449997,78.620003,79.239998,67.432632,7469300
2014-03-13,79.320000,79.760002,79.190002,79.190002,67.390099,9676600
2014-03-14,79.099998,79.230003,78.669998,78.980003,67.211380,14850700
2014-03-17,79.019997,79.949997,79.019997,79.839996,67.943222,8452100
2014-03-18,79.839996,80.080002,79.510002,79.769997,67.883659,7703200
2014-03-19,79.680000,79.910004,78.510002,78.779999,67.041199,8607200
2014-03-20,78.699997,78.930000,78.150002,78.320000,66.649727,8659500
2014-03-21,79.040001,79.750000,77.879997,77.879997,66.275291,21244400
2014-03-24,78.500000,79.830002,78.470001,79.300003,67.483704,11221600
2014-03-25,79.519997,79.989998,79.440002,79.809998,67.917702,8892500
2014-03-26,80.029999,80.180000,79.330002,79.500000,67.653893,8269800
2014-03-27,79.550003,80.430000,79.379997,79.650002,67.781532,8134100
2014-03-28,79.940002,80.320000,79.519997,79.760002,67.875153,6413500
2014-03-31,80.000000,80.830002,79.550003,80.599998,68.590004,8492800
2014-04-01,80.599998,80.839996,80.209999,80.339996,68.368713,8222300
2014-04-02,80.190002,80.330002,79.800003,80.129997,68.190018,6741800
2014-04-03,80.279999,80.580002,79.930000,80.099998,68.164505,5646000
2014-04-04,80.470001,80.559998,79.750000,79.769997,67.883659,8649600
2014-04-07,80.019997,81.070000,79.930000,80.489998,68.496368,13229000
2014-04-08,80.510002,81.379997,80.019997,81.349998,69.228226,11880700
2014-04-09,81.800003,82.239998,81.320000,81.489998,69.347359,11550700
2014-04-10,81.580002,82.129997,80.889999,81.089996,69.006973,12194300
2014-04-11,80.980003,81.660004,80.500000,80.760002,68.726151,11831400
2014-04-14,81.000000,81.199997,80.510002,80.809998,68.768707,7105600
2014-04-15,80.790001,81.089996,80.519997,80.839996,68.794228,9000800
2014-04-16,81.279999,81.879997,81.029999,81.650002,69.483536,8300700
2014-04-17,81.470001,81.889999,81.339996,81.760002,69.577133,8374700
