Date,Open,High,Low,Close,Adj Close,Volume
2019-02-06,107.000000,107.000000,105.529999,106.029999,105.579102,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,104.822327,29760700
2019-02-08,104.389999,105.779999,104.260002,105.669998,105.220634,21461100
2019-02-11,106.199997,106.580002,104.970001,105.250000,104.802422,18914100
2019-02-12,106.139999,107.139999,105.480003,106.889999,106.435448,25056600
2019-02-13,107.500000,107.779999,106.709999,106.809998,106.355782,18394900
2019-02-14,106.309998,107.290001,105.660004,106.900002,106.445404,21784700
2019-02-15,107.910004,108.300003,107.360001,108.220001,107.759789,26606900
2019-02-19,107.790001,108.660004,107.779999,108.169998,107.709999,18038500
2019-02-20,107.860001,107.940002,106.290001,107.150002,107.150002,21607700
2019-02-21,106.900002,109.480003,106.870003,109.410004,109.410004,29063200
2019-02-22,110.050003,111.199997,109.820000,110.970001,110.970001,27763200
2019-02-25,111.760002,112.180000,111.260002,111.589996,111.589996,23750600
2019-02-26,111.260002,113.239998,111.169998,112.360001,112.360001,21536700
2019-02-27,111.690002,112.360001,110.879997,112.169998,112.169998,21487100
2019-02-28,112.040001,112.879997,111.730003,112.029999,112.029999,29083900
2019-03-01,112.889999,113.019997,111.669998,112.529999,112.529999,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,112.260002,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,111.699997,19095000
2019-03-06,111.870003,112.660004,111.430000,111.750000,111.750000,15371324
