Date,Open,High,Low,Close,Adj Close,Volume
2019-02-06,15.940000,16.190001,15.900000,16.090000,16.090000,7159000
2019-02-07,15.910000,16.094999,15.750000,15.850000,15.850000,6135500
2019-02-08,15.660000,15.925000,15.620000,15.920000,15.920000,7984700
2019-02-11,15.910000,16.045000,15.830000,15.840000,15.840000,7940000
2019-02-12,16.010000,16.150000,15.970000,16.000000,16.000000,13904500
2019-02-13,16.100000,16.240000,16.030001,16.049999,16.049999,11945600
2019-02-14,15.910000,16.129999,15.860000,15.990000,15.990000,7968600
2019-02-15,16.110001,16.240000,15.990000,16.090000,16.090000,11932700
2019-02-19,16.030001,16.129999,15.980000,16.090000,16.090000,8588900
2019-02-20,16.100000,16.219999,16.030001,16.049999,16.049999,9809100
2019-02-21,16.110001,16.389999,16.030001,16.230000,16.230000,15909700
2019-02-22,16.500000,16.500000,16.010000,16.320000,16.320000,22478500
2019-02-25,16.350000,16.920000,16.344999,16.760000,16.760000,13110200
2019-02-26,16.730000,16.969999,16.709999,16.799999,16.799999,10049500
2019-02-27,16.750000,16.815001,16.695000,16.700001,16.700001,8381300
2019-02-28,16.600000,16.650000,16.340000,16.379999,16.379999,13489400
2019-03-01,16.540001,16.540001,16.254999,16.379999,16.379999,21879800
2019-03-04,16.450001,16.520000,15.940000,16.160000,16.160000,14646300
2019-03-05,16.090000,16.240000,15.920000,16.139999,16.139999,15841000
2019-03-06,16.110001,16.139999,15.940000,15.960000,15.960000,5484286
