Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,78.660004,78.870003,78.349998,78.690002,68.743210,3859100
2014-01-02,78.720001,79.470001,78.500000,78.910004,68.935417,6878000
2014-01-03,78.809998,79.129997,78.519997,78.650002,68.708290,4957400
2014-01-06,78.860001,78.910004,77.790001,78.209999,68.323906,7280200
2014-01-07,78.169998,78.849998,77.919998,78.449997,68.533569,5012300
2014-01-08,78.500000,78.510002,77.599998,77.830002,67.991936,5955200
2014-01-09,78.389999,78.400002,77.489998,78.089996,68.219078,5916300
2014-01-10,78.309998,78.720001,77.540001,78.040001,68.175407,5181300
2014-01-13,77.599998,77.970001,77.239998,77.489998,67.694908,6157900
2014-01-14,77.459999,78.000000,77.379997,77.959999,68.105507,4088200
2014-01-15,77.959999,78.099998,77.570000,77.660004,67.843437,4992400
2014-01-16,77.389999,77.470001,76.349998,76.760002,67.057205,7201500
2014-01-17,76.730003,76.820000,76.029999,76.190002,66.559250,11440700
2014-01-21,76.250000,76.389999,74.860001,75.839996,66.253471,8971100
2014-01-22,76.080002,76.080002,75.029999,75.349998,65.825401,5853700
2014-01-23,74.839996,75.120003,74.470001,74.959999,65.484734,6006300
2014-01-24,74.730003,75.120003,74.230003,74.419998,65.012962,9332800
2014-01-27,74.129997,74.370003,73.830002,74.150002,64.777084,9088700
2014-01-28,74.260002,75.400002,74.099998,74.669998,65.231354,6023400
2014-01-29,75.290001,75.370003,74.070000,74.099998,64.733429,8433700
2014-01-30,74.540001,75.089996,74.360001,74.750000,65.301254,6732900
2014-01-31,73.919998,75.190002,73.639999,74.680000,65.240128,10544800
2014-02-03,74.190002,74.500000,72.540001,72.660004,63.475452,10430700
2014-02-04,72.669998,73.099998,72.300003,72.730003,63.536602,7755500
2014-02-05,72.269997,73.160004,72.269997,72.870003,63.658897,4774300
2014-02-06,72.970001,73.209999,72.500000,72.820000,63.615231,7353100
2014-02-07,73.050003,73.800003,72.500000,73.750000,64.427673,7287600
2014-02-10,73.589996,73.760002,72.959999,73.760002,64.436394,6204100
2014-02-11,73.900002,74.849998,73.669998,74.800003,65.344940,6511200
