Date,Open,High,Low,Close,Adj Close,Volume
2018-03-07,815.650024,825.320007,726.380005,751.130005,751.130005,354361800
2018-03-08,751.130005,772.510010,688.840027,698.830017,698.830017,289838564
2018-03-09,698.830017,730.460022,642.059998,726.919983,726.919983,409323870
2018-03-10,726.760010,747.820007,678.650024,682.299988,682.299988,203802606
2018-03-11,682.299988,735.010010,663.580017,720.359985,720.359985,206098889
2018-03-12,720.369995,739.869995,678.130005,697.020020,697.020020,208107856
2018-03-13,697.000000,714.190002,679.190002,689.960022,689.960022,194913670
2018-03-14,689.960022,703.380005,586.700012,613.150024,613.150024,325415119
2018-03-15,613.150024,620.429993,572.109985,610.559998,610.559998,342311699
2018-03-16,610.659973,626.130005,585.159973,600.530029,600.530029,221082941
2018-03-17,600.530029,609.940002,543.280029,549.789978,549.789978,208843294
2018-03-18,549.789978,559.929993,454.179993,537.380005,537.380005,719812876
2018-03-19,537.380005,559.070007,515.840027,555.549988,555.549988,418500605
2018-03-20,555.549988,567.000000,516.780029,557.570007,557.570007,331343470
2018-03-21,557.570007,590.200012,545.479980,559.909973,559.909973,277714049
2018-03-22,559.909973,578.010010,516.219971,539.890015,539.890015,233985932
2018-03-23,539.890015,543.840027,506.790009,543.830017,543.830017,225200086
2018-03-24,543.840027,546.010010,519.510010,520.159973,520.159973,129350391
2018-03-25,520.169983,535.770020,513.630005,523.010010,523.010010,111462284
2018-03-25,522.969971,526.200012,467.480011,486.250000,486.250000,278656813
2018-03-26,486.140015,491.920013,446.420013,448.779999,448.779999,328179170
2018-03-27,448.779999,465.200012,440.350006,445.929993,445.929993,187271233
2018-03-28,445.929993,448.500000,380.350006,383.899994,383.899994,472575968
2018-03-29,383.959991,411.170013,364.989990,393.820007,393.820007,450253373
2018-03-30,393.829987,421.049988,389.989990,394.070007,394.070007,243062846
2018-03-31,394.070007,399.589996,359.220001,378.850006,378.850006,236013242
2018-04-01,378.850006,394.119995,375.799988,384.679993,384.679993,156793473
2018-04-02,384.679993,426.839996,380.709991,415.929993,415.929993,223508235
2018-04-03,415.929993,417.109985,370.660004,378.649994,378.649994,223170178
2018-04-04,378.649994,387.559998,367.149994,381.359985,381.359985,160332018
2018-04-05,381.429993,385.779999,363.510010,370.350006,370.350006,133748822
2018-04-06,370.350006,397.100006,369.660004,384.980011,384.980011,108165642
2018-04-07,384.980011,404.220001,384.980011,400.720001,400.720001,107956653
2018-04-08,400.720001,431.230011,387.980011,399.019989,399.019989,271803047
2018-04-09,399.019989,418.269989,391.839996,415.649994,415.649994,129335600
2018-04-10,415.649994,433.440002,410.970001,430.420013,430.420013,167561896
2018-04-11,430.390015,498.079987,414.029999,493.950012,493.950012,450834363
2018-04-12,493.950012,528.950012,482.100006,494.959991,494.959991,470945268
2018-04-13,494.959991,514.659973,487.720001,502.790009,502.790009,191073028
2018-04-14,502.790009,534.309998,502.790009,534.150024,534.150024,243926045
2018-04-15,534.159973,537.479980,499.170013,511.670013,511.670013,249996040
2018-04-16,511.670013,522.070007,500.480011,503.029999,503.029999,195195626
2018-04-17,503.029999,526.609985,501.700012,525.780029,525.780029,178681435
2018-04-18,525.780029,570.179993,521.830017,567.250000,567.250000,267530654
2018-04-19,567.250000,622.140015,557.979980,617.159973,617.159973,410498449
2018-04-20,617.169983,625.150024,576.090027,605.169983,605.169983,294264369
2018-04-21,605.169983,644.289978,591.809998,621.330017,621.330017,270504773
2018-04-22,621.330017,648.409973,619.570007,644.130005,644.130005,238556831
